date,COVID,RSV,HFMD,H1,H3,B,HFMD_ori
2022/12/31,11252,2126,0,157,1257,0,0
2023/1/7,5895,2625,0,175,1168,117,0
2023/1/14,3220,2735,8,47,802,94,1
2023/1/21,33572,4514,0,87,1736,174,0
2023/1/28,27232,7754,0,664,2879,0,0
2023/2/4,27320,7996,0,131,2098,262,0
2023/2/11,20934,10936,8,400,2536,400,1
2023/2/18,7265,8083,8,351,1171,234,1
2023/2/25,4265,4796,0,1091,872,0,0
2023/3/4,1926,5733,0,4179,1238,0,0
2023/3/11,2590,4343,0,9348,2032,0,0
2023/3/18,1655,5618,0,13976,3468,306,0
2023/3/25,4934,7458,23,32492,8254,655,3
2023/4/1,14090,6554,8,30226,6870,0,1
2023/4/8,27475,11349,8,53063,11366,202,1
2023/4/15,59516,8126,0,50408,10531,200,0
2023/4/22,157032,8383,23,42424,9764,195,3
2023/4/29,241835,8291,0,29138,9931,164,0
2023/5/6,386072,7360,15,14561,5137,0,2
2023/5/13,345287,5947,38,7862,3004,0,5
2023/5/20,510412,5748,23,3249,1884,65,3
2023/5/27,214148,10131,31,2664,3377,48,4
2023/6/3,156913,6315,62,1137,1348,0,8
2023/6/10,119448,8509,62,1681,3106,51,8
2023/6/17,83173,12741,108,2447,4958,63,14
2023/6/24,51365,13852,185,1857,5001,0,24
2023/7/1,38762,15355,154,3317,11075,54,20
2023/7/8,31912,10946,138,3017,9855,322,18
2023/7/15,12213,15763,169,2859,16904,150,22
2023/7/22,12511,15643,177,1813,16274,211,23
2023/7/29,3385,5978,162,573,5439,124,21
2023/8/5,10459,8532,154,1190,6667,164,20
2023/8/12,14294,18657,169,2887,18056,412,22
2023/8/19,10263,34179,192,6383,32072,1012,25
2023/8/26,15621,26418,146,4848,29520,868,19
2023/9/2,15130,26128,177,3892,37691,426,23
2023/9/9,14214,26279,146,3649,36119,928,19
2023/9/16,19943,42235,131,11441,66219,1519,17
2023/9/23,10271,25176,223,6041,48196,1901,29
